game_id,year,week,owner_1,score_1,owner_2,score_2,season,round
161,2014,1,ML,104,CN,116,Regular Season,Regular Season
162,2014,1,CD,113,RW,122,Regular Season,Regular Season
163,2014,1,WF,72,DK,87,Regular Season,Regular Season
164,2014,2,WF,61,LB,81,Regular Season,Regular Season
165,2014,2,DG,98,RW,106,Regular Season,Regular Season
166,2014,2,CN,97,OB,73,Regular Season,Regular Season
167,2014,2,NN,93,ML,100,Regular Season,Regular Season
168,2014,2,CD,66,DK,96,Regular Season,Regular Season
169,2014,3,DG,111,CN,77,Regular Season,Regular Season
170,2014,3,LB,63,DK,102,Regular Season,Regular Season
171,2014,3,WF,102,OB,93,Regular Season,Regular Season
172,2014,3,CD,123,ML,86,Regular Season,Regular Season
173,2014,3,NN,59,RW,83,Regular Season,Regular Season
174,2014,4,NN,86,WF,69,Regular Season,Regular Season
175,2014,4,ML,116,LB,80,Regular Season,Regular Season
176,2014,4,CD,128,OB,91,Regular Season,Regular Season
177,2014,4,DK,80,DG,109,Regular Season,Regular Season
178,2014,4,CN,122,RW,89,Regular Season,Regular Season
179,2014,5,NN,101,OB,84,Regular Season,Regular Season
180,2014,5,LB,61,DG,78,Regular Season,Regular Season
181,2014,5,CN,60,CD,130,Regular Season,Regular Season
182,2014,5,ML,90,DK,75,Regular Season,Regular Season
183,2014,5,WF,115,RW,148,Regular Season,Regular Season
184,2014,6,ML,101,DG,88,Regular Season,Regular Season
185,2014,6,DK,109,NN,107,Regular Season,Regular Season
186,2014,6,CD,104,LB,97,Regular Season,Regular Season
187,2014,6,RW,121,OB,46,Regular Season,Regular Season
188,2014,6,CN,104,WF,97,Regular Season,Regular Season
189,2014,7,WF,69,DG,97,Regular Season,Regular Season
190,2014,7,DK,77,RW,106,Regular Season,Regular Season
191,2014,7,OB,80,ML,93,Regular Season,Regular Season
192,2014,7,CD,122,NN,76,Regular Season,Regular Season
193,2014,7,CN,73,LB,73,Regular Season,Regular Season
194,2014,8,NN,90,DG,124,Regular Season,Regular Season
195,2014,8,LB,55,OB,131,Regular Season,Regular Season
196,2014,8,CN,87,DK,89,Regular Season,Regular Season
197,2014,8,WF,154,CD,121,Regular Season,Regular Season
198,2014,8,RW,121,ML,122,Regular Season,Regular Season
199,2014,9,OB,118,DK,112,Regular Season,Regular Season
200,2014,9,WF,85,ML,109,Regular Season,Regular Season
201,2014,9,RW,81,LB,72,Regular Season,Regular Season
202,2014,9,DG,116,CD,93,Regular Season,Regular Season
203,2014,9,CN,78,NN,38,Regular Season,Regular Season
204,2014,10,WF,83,DK,71,Regular Season,Regular Season
205,2014,10,CN,148,DG,83,Regular Season,Regular Season
206,2014,10,LB,86,NN,82,Regular Season,Regular Season
207,2014,10,OB,61,RW,152,Regular Season,Regular Season
208,2014,10,ML,115,CD,106,Regular Season,Regular Season
209,2014,11,NN,70,ML,87,Regular Season,Regular Season
210,2014,11,RW,80,DK,71,Regular Season,Regular Season
211,2014,11,LB,90,WF,74,Regular Season,Regular Season
212,2014,11,CN,82,CD,128,Regular Season,Regular Season
213,2014,11,DG,66,OB,113,Regular Season,Regular Season
214,2014,12,ML,112,DG,72,Regular Season,Regular Season
215,2014,12,WF,92,NN,64,Regular Season,Regular Season
216,2014,12,OB,73,CN,105,Regular Season,Regular Season
217,2014,12,LB,92,RW,86,Regular Season,Regular Season
218,2014,12,DK,105,CD,156,Regular Season,Regular Season
219,2014,13,LB,86,DG,134,Regular Season,Regular Season
220,2014,13,NN,101,RW,97,Regular Season,Regular Season
221,2014,13,WF,150,CN,114,Regular Season,Regular Season
222,2014,13,OB,83,CD,139,Regular Season,Regular Season
223,2014,13,ML,71,DK,126,Regular Season,Regular Season
224,2014,14,CN,105,DG,104,Post Season,Wildcard
225,2014,14,DK,65,CD,175,Post Season,Wildcard
226,2014,14,OB,89,WF,149,Post Season,B4 Playoffs
227,2014,14,LB,115,NN,87,Post Season,B4 Playoffs
228,2014,15,CN,40,ML,95,Post Season,Semifinal
229,2014,15,CD,100,RW,88,Post Season,Semifinal
230,2014,15,DK,107,DG,119,Post Season,Consolation
231,2014,15,LB,66,WF,90,Post Season,B4 Playoffs
232,2014,15,OB,78,NN,72,Post Season,B4 Playoffs
233,2014,16,CD,96,ML,85,Post Season,Championship
234,2014,16,CN,78,RW,83,Post Season,3rd Place
235,2014,16,DK,80,DG,81,Post Season,Consolation
236,2014,16,NN,83,WF,92,Post Season,B4 Playoffs
237,2014,16,OB,77,LB,86,Post Season,B4 Playoffs
238,2015,1,NN,87.1,LB,74.8,Regular Season,Regular Season
239,2015,1,DG,123.6,OB,84.1,Regular Season,Regular Season
240,2015,1,ML,151.7,CN,86.9,Regular Season,Regular Season
241,2015,1,CD,122.1,RW,106.3,Regular Season,Regular Season
242,2015,1,WF,93.8,DK,109.9,Regular Season,Regular Season
243,2015,2,WF,111.6,LB,108.8,Regular Season,Regular Season
244,2015,2,DG,108.3,RW,119.7,Regular Season,Regular Season
245,2015,2,CN,88.5,OB,104.4,Regular Season,Regular Season
246,2015,2,NN,95.4,ML,58.7,Regular Season,Regular Season
247,2015,2,CD,82,DK,100.7,Regular Season,Regular Season
248,2015,3,DG,126.6,CN,84.3,Regular Season,Regular Season
249,2015,3,LB,92,DK,154.5,Regular Season,Regular Season
250,2015,3,WF,89.5,OB,153.5,Regular Season,Regular Season
251,2015,3,CD,108.3,ML,81.3,Regular Season,Regular Season
252,2015,3,NN,139.7,RW,82.2,Regular Season,Regular Season
253,2015,4,NN,68.8,WF,85,Regular Season,Regular Season
254,2015,4,ML,108.9,LB,71.8,Regular Season,Regular Season
255,2015,4,CD,113,OB,90.8,Regular Season,Regular Season
256,2015,4,DK,90.5,DG,66.7,Regular Season,Regular Season
257,2015,4,CN,87.3,RW,89.4,Regular Season,Regular Season
258,2015,5,NN,111,OB,121,Regular Season,Regular Season
259,2015,5,LB,78.2,DG,130.8,Regular Season,Regular Season
260,2015,5,CN,97.2,CD,133.7,Regular Season,Regular Season
261,2015,5,ML,91.5,DK,114.6,Regular Season,Regular Season
262,2015,5,WF,95.8,RW,62.9,Regular Season,Regular Season
263,2015,6,ML,121.6,DG,90.3,Regular Season,Regular Season
264,2015,6,DK,135.6,NN,143.3,Regular Season,Regular Season
265,2015,6,CD,102.5,LB,131.6,Regular Season,Regular Season
266,2015,6,RW,76.4,OB,97,Regular Season,Regular Season
267,2015,6,CN,108.6,WF,78.2,Regular Season,Regular Season
268,2015,7,WF,69.9,DG,77.6,Regular Season,Regular Season
269,2015,7,DK,111.1,RW,83.4,Regular Season,Regular Season
270,2015,7,OB,92.1,ML,120.1,Regular Season,Regular Season
271,2015,7,CD,136.1,NN,138.6,Regular Season,Regular Season
272,2015,7,CN,91.6,LB,130.4,Regular Season,Regular Season
273,2015,8,NN,76.7,DG,150.6,Regular Season,Regular Season
274,2015,8,LB,99.7,OB,106.6,Regular Season,Regular Season
275,2015,8,CN,87.4,DK,113.6,Regular Season,Regular Season
276,2015,8,WF,93.6,CD,92.7,Regular Season,Regular Season
277,2015,8,RW,101.2,ML,111.8,Regular Season,Regular Season
278,2015,9,OB,99.2,DK,93.4,Regular Season,Regular Season
279,2015,9,WF,114.5,ML,85.2,Regular Season,Regular Season
280,2015,9,RW,147,LB,129.4,Regular Season,Regular Season
281,2015,9,DG,106.6,CD,105.6,Regular Season,Regular Season
282,2015,9,CN,83.7,NN,124.1,Regular Season,Regular Season
283,2015,10,WF,70,OB,124.2,Regular Season,Regular Season
284,2015,10,LB,100.8,DK,102.8,Regular Season,Regular Season
285,2015,10,CN,76.3,NN,92.4,Regular Season,Regular Season
286,2015,10,DG,92,CD,121.9,Regular Season,Regular Season
287,2015,10,ML,80.9,RW,84.9,Regular Season,Regular Season
288,2015,11,CN,80.7,ML,74.1,Regular Season,Regular Season
289,2015,11,RW,78.3,CD,77.2,Regular Season,Regular Season
290,2015,11,DG,71.5,WF,84.2,Regular Season,Regular Season
